,batch,epoch,glob_cnt,train_loss,valid_loss
0,500,1,500,2.026963233947754,2.10575070977211
1,1000,1,1000,1.218377709388733,1.204766868228136
2,1500,1,1500,0.7615536451339722,0.8425802218706109
3,2000,1,2000,0.759436309337616,0.6544148753548777
4,2500,1,2500,0.5240970253944397,0.539655074685119
5,3000,1,3000,0.3746543526649475,0.4631696612682453
6,3500,1,3500,0.2884216010570526,0.4105569785764051
7,4000,1,4000,0.3599661886692047,0.37171812593763653
8,4500,1,4500,0.33834946155548096,0.3431595582601636
9,5000,1,5000,0.34240391850471497,0.3209529478449461
10,5500,1,5500,0.2839347720146179,0.30303334786101827
11,6000,1,6000,0.23391500115394592,0.2893339749598919
12,6500,1,6500,0.3528657853603363,0.27853958790385447
13,122,2,7000,0.25948089361190796,0.2686208796622448
14,622,2,7500,0.21346765756607056,0.2605806303578754
15,1122,2,8000,0.2492702305316925,0.2542177479107713
16,1622,2,8500,0.2574688792228699,0.24851181017191604
17,2122,2,9000,0.17668573558330536,0.2432406588002693
18,2622,2,9500,0.2405668944120407,0.2393223827791422
19,3122,2,10000,0.2595774531364441,0.23466850687684707
20,3622,2,10500,0.28650158643722534,0.2313978643351516
21,4122,2,11000,0.17638421058654785,0.22802139468664348
22,4622,2,11500,0.21460342407226562,0.225433232353697
23,5122,2,12000,0.16362059116363525,0.2219392775839498
24,5622,2,12500,0.19758914411067963,0.21983635581943184
25,6122,2,13000,0.2146480530500412,0.2167848955016843
26,6622,2,13500,0.21104013919830322,0.214649004658121
27,244,3,14000,0.1736898273229599,0.21358397980762084
28,744,3,14500,0.14378753304481506,0.2128230405061744
29,1244,3,15000,0.16979219019412994,0.21023629789868759
30,1744,3,15500,0.16369940340518951,0.20754887475523837
31,2244,3,16000,0.21026979386806488,0.2067239595620438
32,2744,3,16500,0.2022690325975418,0.20533579489606063
33,3244,3,17000,0.14173708856105804,0.20407208384036324
34,3744,3,17500,0.16141760349273682,0.2023113912534575
35,4244,3,18000,0.18638014793395996,0.20196743723178326
36,4744,3,18500,0.1832946091890335,0.20009719585609992
37,5244,3,19000,0.16970014572143555,0.19905156604512486
38,5744,3,19500,0.13339515030384064,0.19757649050808923
39,6244,3,20000,0.1284549981355667,0.19671810686501653
40,6744,3,20500,0.1851520985364914,0.19526782693817865
41,366,4,21000,0.14851069450378418,0.19512779394727806
42,866,4,21500,0.13782791793346405,0.19394943620143243
43,1366,4,22000,0.15094758570194244,0.19301732714006373
44,1866,4,22500,0.14036810398101807,0.19233666196638763
45,2366,4,23000,0.11906830966472626,0.19165091550107613
46,2866,4,23500,0.18525013327598572,0.19071326627461024
47,3366,4,24000,0.15707716345787048,0.18986610475234514
48,3866,4,24500,0.125058114528656,0.18955697046029707
49,4366,4,25000,0.23201097548007965,0.18825098872184753
50,4866,4,25500,0.16066992282867432,0.18785516754399206
51,5366,4,26000,0.15776468813419342,0.18752610994243
52,5866,4,26500,0.14315634965896606,0.1867905825029972
53,6366,4,27000,0.19478942453861237,0.1858874560095543
54,6866,4,27500,0.1645045131444931,0.1855590103367387
55,488,5,28000,0.14650864899158478,0.1853592008005741
56,988,5,28500,0.16056202352046967,0.18427045843888853
57,1488,5,29000,0.11712399125099182,0.18378663544304844
58,1988,5,29500,0.19530051946640015,0.1838122851973356
59,2488,5,30000,0.1953788697719574,0.18298478124793185
60,2988,5,30500,0.1828518807888031,0.18202826998434787
61,3488,5,31000,0.14985086023807526,0.18193400174725888
62,3988,5,31500,0.22091540694236755,0.1814710344469478
63,4488,5,32000,0.19835759699344635,0.18102391027347292
64,4988,5,32500,0.13739614188671112,0.1810825774879303
65,5488,5,33000,0.19026827812194824,0.18003360097144924
66,5988,5,33500,0.12981517612934113,0.17936749181082082
67,6488,5,34000,0.1176038309931755,0.1790599440332762
68,110,6,34500,0.17015430331230164,0.179016705593744
69,610,6,35000,0.05427924543619156,0.1785023246220378
70,1110,6,35500,0.1164611205458641,0.17799596912119278
71,1610,6,36000,0.13926981389522552,0.17789649855085585
72,2110,6,36500,0.15369971096515656,0.17750770456135967
73,2610,6,37000,0.19563595950603485,0.17701897604477612
74,3110,6,37500,0.14166493713855743,0.17680137424274933
75,3610,6,38000,0.12965352833271027,0.17689196129957604
76,4110,6,38500,0.18280327320098877,0.17635938229342532
77,4610,6,39000,0.15473704040050507,0.1752153672169634
78,5110,6,39500,0.17937150597572327,0.1750579385736654
79,5610,6,40000,0.14876322448253632,0.17488812459416167
80,6110,6,40500,0.12777434289455414,0.17451781557309767
81,6610,6,41000,0.1410319060087204,0.17414031133575494
82,232,7,41500,0.16918055713176727,0.17384654613168435
83,732,7,42000,0.22686640918254852,0.17436425867382177
84,1232,7,42500,0.13472479581832886,0.17395505598031505
85,1732,7,43000,0.09373299777507782,0.17375154589237862
86,2232,7,43500,0.14807486534118652,0.17345490809963193
87,2732,7,44000,0.16778750717639923,0.17285738347401453
88,3232,7,44500,0.12684950232505798,0.1727694069316914
89,3732,7,45000,0.17777523398399353,0.17253482638923234
90,4232,7,45500,0.1206357404589653,0.17223635319360467
91,4732,7,46000,0.10509531199932098,0.17180120638290117
92,5232,7,46500,0.15796290338039398,0.17145149684402833
93,5732,7,47000,0.1971014440059662,0.17126367164039336
94,6232,7,47500,0.15363535284996033,0.171041262730263
95,6732,7,48000,0.1627245992422104,0.17106065678215304
96,354,8,48500,0.1280554085969925,0.1706484451045304
97,854,8,49000,0.16946934163570404,0.1708952319959915
98,1354,8,49500,0.13047939538955688,0.170964453694259
99,1854,8,50000,0.12752756476402283,0.1704019220805792
100,2354,8,50500,0.12657180428504944,0.17012264427057533
101,2854,8,51000,0.15231111645698547,0.17009545312544636
102,3354,8,51500,0.1375095248222351,0.17034340309802182
103,3854,8,52000,0.19200551509857178,0.16961867485715207
104,4354,8,52500,0.16491131484508514,0.16983163274911253
105,4854,8,53000,0.13571639358997345,0.16953715073421252
106,5354,8,53500,0.10144544392824173,0.16874109856177902
107,5854,8,54000,0.1561197191476822,0.16855659732638403
108,6354,8,54500,0.14629951119422913,0.16833348854249994
109,6854,8,55000,0.18433071672916412,0.16854609393969525
110,476,9,55500,0.1652415692806244,0.16832078260607844
111,976,9,56000,0.16205763816833496,0.16802803871633354
112,1476,9,56500,0.0964338555932045,0.16833346761156653
113,1976,9,57000,0.17907115817070007,0.16792184830491627
114,2476,9,57500,0.14517895877361298,0.16772039374120012
115,2976,9,58000,0.11699847877025604,0.1677748506325622
116,3476,9,58500,0.14282016456127167,0.1672815803135204
117,3976,9,59000,0.11576827615499496,0.16724225319055624
118,4476,9,59500,0.11127934604883194,0.16722579536916213
119,4976,9,60000,0.11673081666231155,0.16678401070408697
120,5476,9,60500,0.12417494505643845,0.16664073585510947
121,5976,9,61000,0.10787466168403625,0.1666365839107785
122,6476,9,61500,0.10811106115579605,0.16639446487520324
123,98,10,62000,0.1447417438030243,0.16614198922071347
124,598,10,62500,0.10876671224832535,0.16653019476595313
125,1098,10,63000,0.08213488012552261,0.1660448594516966
126,1598,10,63500,0.21486951410770416,0.16635697147007597
127,2098,10,64000,0.18744304776191711,0.16626366690927466
128,2598,10,64500,0.13237819075584412,0.1660255981825812
129,3098,10,65000,0.14942553639411926,0.16601080444403166
130,3598,10,65500,0.13875719904899597,0.16560538477415956
131,4098,10,66000,0.09500031173229218,0.16546743660732063
132,4598,10,66500,0.16598857939243317,0.16529216042308267
133,5098,10,67000,0.11112460494041443,0.1654668106632524
134,5598,10,67500,0.1440628468990326,0.16548560774170382
135,6098,10,68000,0.1963125765323639,0.16473421410679123
136,6598,10,68500,0.09112025797367096,0.16514669582247735
